k162a,k162b,k20a1,k82a,k82b,k11,b5,a4a,a3a,a6a,l1,b2a,b2b,b4,b4a,b3a,b7,b7a,d2,n3,f1,k21,k6,k9,k3a,k3bc,k3e,k3f,k3dgh,k5a,k5bc,k5e,k5f,k14a,k14b,k14c,k14d,k15a,k33,k38,b6b,c22b,h1,h5,h8,l9b,l10,c6,c7,c9a,c10,k30,c30a,j30f,j30e,e30,d30a,j30a,j30b,k17,m1a,firm_age,registration_age,sales_growth,d2_win,n3_win,k11_win,k15a_win,l1_win,c7_win,ln_sales,ln_sales3,ln_loan,ln_employees,ln_collateral,sector_label,region_label,size_label,sme_size,credit_uptake,has_credit,loan_approved,creditworthy
1.0,0.0,1.0,0.0,0.0,,2016.0,6,6,1,25.0,100.0,0.0,0.0,,0.0,12.0,0.0,150000000.0,80000000.0,,1.0,1.0,,70.0,10.0,0.0,20.0,0.0,,,,,,,,,,50.0,80.0,2017.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,,11.0,8.0,7.0,87.5,150000000.0,80000000.0,,,25.0,2.0,18.826145858727198,18.197537205138154,,3.258096538021482,,Retail,South West,Small,Medium,1.0,0.0,1.0,0
0.0,0.0,,0.0,0.0,,2005.0,6,3,1,30.0,100.0,0.0,0.0,,1.0,20.0,0.0,150000000.0,120000000.0,,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,80.0,100.0,2023.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0,19.0,1.0,25.0,150000000.0,120000000.0,,,30.0,1.0,18.826145858727198,18.603002309079653,,3.4339872044851463,,Retail,North West,Small,Medium,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2008.0,4,4,1,7.0,100.0,0.0,0.0,,1.0,17.0,0.0,15000000.0,11000000.0,100.0,1.0,1.0,,60.0,0.0,0.0,20.0,0.0,70.0,0.0,0.0,0.0,,,,,,60.0,40.0,2009.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,,,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,8.0,16.0,15.0,36.36363636363637,15000000.0,11000000.0,,,7.0,,16.52356082573315,16.213405921671733,,2.0794415416798357,,Other Manufacturing,South East,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2012.0,7,6,1,10.0,100.0,0.0,0.0,,1.0,15.0,0.0,50000000.0,20000000.0,,0.0,1.0,,60.0,0.0,0.0,0.0,0.0,,,,,,,,,,100.0,100.0,2013.0,1.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,,1.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,12.0,12.0,11.0,150.0,50000000.0,20000000.0,,,10.0,1.0,17.72753358339242,16.811242881518265,,2.3978952727983707,,Other Services,South West,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,1969.0,6,6,2,8.0,100.0,0.0,0.0,,0.0,15.0,0.0,300000000.0,350000000.0,,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,80.0,100.0,1969.0,1.0,0.0,0.0,0.0,100.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,14.0,55.0,55.0,-14.285714285714285,300000000.0,350000000.0,,,8.0,4.0,19.519293035953808,19.673443715304877,,2.1972245773362196,,Retail,South West,Medium,Small,0.0,0.0,,0
1.0,0.0,3.0,0.0,0.0,,2008.0,7,6,1,8.0,100.0,0.0,0.0,,0.0,5.0,0.0,5000000.0,5000000.0,,0.0,1.0,,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,35.0,50.0,2009.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,,0.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,,6.0,16.0,15.0,0.0,5000000.0,5000000.0,,,8.0,,15.424948670398354,15.424948670398354,,2.1972245773362196,,Other Services,South West,Small,Small,1.0,0.0,0.0,0
0.0,0.0,,0.0,0.0,,2005.0,2,6,2,30.0,100.0,0.0,1.0,100.0,1.0,5.0,1.0,50000000.0,35000000.0,80.0,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,70.0,60.0,2005.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,13.0,,1.0,4.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,8.0,19.0,19.0,42.857142857142854,50000000.0,35000000.0,,,30.0,13.0,17.72753358339242,17.370858648025116,,3.4339872044851463,,Garments,South West,Medium,Medium,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2010.0,6,1,1,8.0,100.0,0.0,0.0,,1.0,20.0,1.0,273750000.0,250000000.0,,1.0,1.0,,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,40.0,55.0,2010.0,1.0,0.0,0.0,0.0,100.0,1.0,1.0,6.0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,8.0,14.0,14.0,9.5,273750000.0,250000000.0,,,8.0,6.0,19.427725842747954,19.33697147982652,,2.1972245773362196,,Retail,North Central,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,1991.0,2,6,1,10.0,100.0,0.0,0.0,,1.0,5.0,0.0,30000000.0,18000000.0,,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,70.0,70.0,1995.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,11.0,,1.0,3.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,8.0,33.0,29.0,66.66666666666666,30000000.0,18000000.0,,,10.0,11.0,17.216707972959764,16.705882371415992,,2.3978952727983707,,Garments,South West,Small,Small,0.0,0.0,,0
0.0,0.0,,0.0,0.0,,2018.0,1,3,1,13.0,100.0,0.0,0.0,,1.0,10.0,0.0,68000000.0,63000000.0,90.0,1.0,1.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,80.0,2018.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,8.0,6.0,6.0,7.936507936507936,68000000.0,63000000.0,,,13.0,,18.035018277846262,17.958645300228824,,2.639057329615259,,Food,North West,Small,Small,0.0,0.0,,0
